Year	d18O	Filtered d18O
1719	-5.493	-5.231
1720	-4.159	-5.219
1721	-6.081	-5.233
1722	-5.654	-5.219
1723	-3.790	-5.198
1724	-5.615	-5.227
1725	-6.668	-5.236
1726	-4.941	-5.168
1727	-4.129	-5.101
1728	-6.430	-5.053
1729	-4.746	-4.967
1730	-3.782	-4.884
1731	-5.873	-4.837
1732	-3.750	-4.791
1733	-4.446	-4.780
1734	-5.878	-4.784
1735	-5.181	-4.730
1736	-4.719	-4.624
1737	-3.614	-4.525
1738	-3.785	-4.487
1739	-4.044	-4.518
1740	-3.701	-4.614
1741	-4.533	-4.774
1742	-5.940	-4.944
1743	-5.379	-5.061
1744	-6.770	-5.096
1745	-3.353	-5.083
1746	-4.291	-5.135
1747	-7.053	-5.227
1748	-5.582	-5.241
1749	-4.614	-5.206
1750	-6.856	-5.149
1751	-3.460	-5.062
1752	-5.428	-5.002
1753	-6.022	-4.934
1754	-3.812	-4.825
1755	-3.452	-4.774
1756	-5.655	-4.792
1757	-4.272	-4.814
1758	-5.613	-4.822
1759	-5.812	-4.777
1760	-5.076	-4.651
1761	-3.691	-4.497
1762	-3.162	-4.403
1763	-3.298	-4.421
1764	-5.402	-4.503
1765	-3.376	-4.600
1766	-5.749	-4.709
1767	-5.822	-4.770
1768	-4.357	-4.762
1769	-3.840	-4.772
1770	-4.604	-4.845
1771	-4.408	-4.967
1772	-6.104	-5.098
1773	-4.270	-5.216
1774	-5.334	-5.357
1775	-7.123	-5.481
1776	-5.971	-5.512
1777	-5.500	-5.479
1778	-5.398	-5.434
1779	-6.575	-5.360
1780	-4.039	-5.256
1781	-4.778	-5.193
1782	-6.327	-5.152
1783	-5.273	-5.057
1784	-4.175	-4.941
1785	-4.476	-4.867
1786	-5.542	-4.814
1787	-3.582	-4.765
1788	-4.508	-4.762
1789	-5.987	-4.772
1790	-3.443	-4.760
1791	-4.054	-4.802
1792	-5.981	-4.888
1793	-7.166	-4.880
1794	-3.091	-4.772
1795	-4.368	-4.699
1796	-5.502	-4.664
1797	-4.490	-4.598
1798	-4.666	-4.513
1799	-3.334	-4.450
1800	-3.804	-4.456
1801	-4.566	-4.522
1802	-4.547	-4.603
1803	-6.091	-4.650
1804	-4.023	-4.641
1805	-4.499	-4.631
1806	-4.371	-4.650
1807	-4.298	-4.696
1808	-5.893	-4.740
1809	-3.471	-4.768
1810	-4.718	-4.836
1811	-5.007	-4.940
1812	-6.438	-5.009
1813	-3.621	-5.039
1814	-4.287	-5.126
1815	-6.988	-5.246
1816	-5.422	-5.297
1817	-4.305	-5.324
1818	-5.807	-5.389
1819	-6.805	-5.423
1820	-4.466	-5.401
1821	-5.001	-5.401
1822	-6.835	-5.409
1823	-6.232	-5.333
1824	-3.897	-5.210
1825	-5.159	-5.128
1826	-4.851	-5.084
1827	-6.162	-5.023
1828	-4.896	-4.910
1829	-4.487	-4.777
1830	-3.968	-4.676
1831	-3.569	-4.645
1832	-4.591	-4.688
1833	-4.736	-4.764
1834	-5.770	-4.820
1835	-5.690	-4.807
1836	-3.967	-4.746
1837	-4.405	-4.709
1838	-5.289	-4.691
1839	-3.881	-4.672
1840	-4.837	-4.672
1841	-5.901	-4.653
